,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,1.0 kcal/ml,4.2 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,25%,Non-Fat Milk Solids and Whole Milk Powder
3,Carbohydrate,69%,"Corn Syrup Solids, Sugar and Whole Milk Powder"
4,Fat,6%,Whole Milk Powder
5,Glycaemic Index,.........................................,Vanilla - 54
6,Nonprotein Calorie: Nitrogen Ratio,.........................................,78:1
7,Calorie: Nitrogen Ratio,.........................................,103:1
8,Osmolality,.........................................,Vanilla - 795 m0sm/kg Water
9,,,
